Team,Player,GP,AAG (Median),AAG (Mean),AAG% (Median),AAG% (Mean),REL (Median),REL (Mean),1.1 3/6,1.2 3/7,1.3 3/8,2.1 3/9,2.2 3/10,2.3 3/11,3.1 3/12,3.2 3/13,3.3 3/14,4.1 3/15,4.2 3/16,4.3 3/17,5.1 3/18,5.2 3/19,5.3 3/20,6.1 3/21,6.2 3/22,6.3 3/23,7.1 3/24,7.2 3/25,7.3 3/26,8.1 3/27,8.2 3/28,8.3 3/29,9.1 4/2,9.2 4/3,9.3 4/4,10.1 4/5,10.2 4/6,10.3 4/7,11.1 4/8,11.2 4/9,11.3 4/10,12.1 4/11,12.2 4/12,12.3 4/13,13.1 4/14,13.2 4/15,13.3 4/16,14.1 4/17,14.2 4/18,14.3 4/19,15.1 4/21,15.2 4/22,15.3 4/23
Flags,@yankees.hub (Flags),2,0,0,0%,0%,0.490,0.510,,,,,,,,,,,,,,,,,2734,,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
Fellas,@ballingpm (Fellas),5,2,2,40%,40%,0.834,0.851,,,7703,,,2969,,,,,,,,,,,,8228,,3285,,,4765,,,,,,,,,,,,,,,,,,,,,,
Fellas,@bello,3,0,1,0%,33%,0.837,0.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3902,,,1659,,,,,,3653,,
Fellas,@bshumer1,3,1,1,33%,33%,0.875,0.895,,,,,,,,,,,,,,,,,,,,,,,,,,3035,,,,,,,,,,,,,,2885,,,3845,,
Fellas,@cadewave (@ashton) (Fellas),8,6,6,75%,75%,1.074,1.103,,,10877,,,4887,,,9166,,,3775,,,8462,,,8322,,4295,,,6088,,,,,,,,,,,,,,,,,,,,,,
Fellas,@cartercrash (Fellas),5,3,3,60%,60%,0.954,0.989,,,8589,,,,,,8077,,,3088,,,9597,,,,,,,,5800,,,,,,,,,,,,,,,,,,,,,,
Fellas,@dariusgarland (@dortch) (Fellas),8,3,4,38%,50%,0.924,0.948,,,10767,,,4056,,,8931,,,2467,,,9319,,,4834,,2839,,,4835,,,,,,,,,,,,,,,,,,,,,,
Fellas,@devonta (Fellas),7,2,3,29%,43%,0.975,1.007,,,,,,,,,,,,,,,,,,,,,,,,,,4165,,,4295,,,5441,,4335,,,3307,,,2792,,,3090,,
Fellas,@dugz (Fellas),8,7,7,88%,88%,1.091,1.120,,,12886,,,5798,,,7951,,,3409,,,8218,,,8160,,3337,,,6985,,,,,,,,,,,,,,,,,,,,,,
Fellas,@duke (Fellas),1,0,0,0%,0%,0.735,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101,,,,,,,,,,,,,
Fellas,@floyd (Fellas),3,2,2,67%,67%,1.012,1.055,,,,,,,,,6156,,,4061,,,,,,,,3677,,,,,,,,,,,,,,,,,,,,,,,,,
Fellas,@fun (Fellas),6,2,4,33%,67%,0.976,1.003,,,,,,,,,,,,,,,,,,,,,,,,,,3442,,,3941,,,5525,,3803,,,3247,,,3792,,,,,
Fellas,@gradyt06 (Fellas),2,1,2,50%,100%,1.046,1.074,,,,,,,,,,,,,,,9789,,,7530,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fellas,@joshminottenjoyer (Fellas),6,3,3,50%,50%,0.974,1.005,,,,,,,,,,,,,,,,,,,,,,,,,,4278,,,5520,,,4709,,,,,3004,,,2411,,,2948,,
Fellas,@khys9575 (Fellas),6,4,4,67%,67%,1.043,1.072,,,,,,,,,,,,,,,,,,,,,,,,,,4242,,,3859,,,4768,,5447,,,2997,,,4068,,,,,
Fellas,@mlbelite (Fellas),8,0,0,0%,0%,0.788,0.809,,,9842,,,2665,,,6746,,,1248,,,7859,,,5080,,1975,,,5573,,,,,,,,,,,,,,,,,,,,,,
Fellas,@realnuggets (Fellas),1,0,0,0%,0%,0.832,0.795,,,,,,3801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fellas,@sasser (Fellas),4,0,0,0%,0%,0.783,0.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4637,,3474,,,2220,,,,,,2654,,
